Model;comment;b type;h type;LP relaxation time;gap;objective;integral_count_h;integrality h;integral_count_b;integrality b;feasibility check;plateau_time;plateau_time_obj;plateau_time_gap
BBER_BBU;;continuous;continuous;0.06;0;649.70;0.56;0.45;0.20;0.41;no check;0;649.7;10.4
BBKS_BWT;;continuous;continuous;16.31;0.01;7907.40;0.55;0.41;0.87;0.47;no check;15;7907.4;0.02
BBOS_BWIN_BTG;;continuous;continuous;0.73;0;9185.42;0.78;0.42;0.74;0.42;no check;0;9185.42;0
BGAS_BKW;;continuous;continuous;0.11;0.01;4288.42;0.75;0.43;0.52;0.37;no check;0;0;0
BNB_BSNH_BSAL_BPHD;;continuous;continuous;42.78;0;19977.98;0.76;0.45;0.60;0.42;no check;42;19977.98;0
BBUP_O;;continuous;continuous;241.84;0.01;13235.41;0.86;0.49;0.59;0.46;no check;112;13235.41;0.04
BBUP_W;;continuous;continuous;331.18;0.01;12700.38;0.85;0.48;0.53;0.43;no check;61;12700.38;0.06
BPKW_BKRW_BSNF_O;;continuous;continuous;1.84;0.01;8487.51;0.67;0.42;0.52;0.38;no check;1;8487.51;0.01
BWKS_medium_september;;continuous;continuous;2.48;0.01;8097.78;0.64;0.40;0.94;0.48;no check;1;8097.78;0.02
BGB_BWES;;continuous;continuous;2967.42;0.01;23111.31;0.76;0.43;0.63;0.39;no check;2490;23111.31;0.02