Model;comment;filename;date;time;timeout;gap in %;objective;sheaf relaxation;activation relaxation;feasibility check;feasibility_stop;total timeout;#iterations;;;
BBER_BBU;gap stop, 10 sec;BBER_BBU_subgradient_act_;29.03.24 14:28;0.06;False;0;982;False;True;True;False;3;5;;;
BBKS_BWT;gap stop, 10 sec;BBKS_BWT_subgradient_act_;29.03.24 14:28;83.81;False;10.55;10193;False;True;True;False;3;5;;;
BBOS_BWIN_BTG;gap stop, 10 sec;BBOS_BWIN_BTG_subgradient_act_;29.03.24 14:28;81.19;False;2.86;10210;False;True;True;False;3;5;;;
BGAS_BKW;gap stop, 10 sec;BGAS_BKW_subgradient_act_;29.03.24 14:28;41.71;False;0;4914;False;True;True;False;3;5;;;
BNB_BSNH_BSAL_BPHD;gap stop, 10 sec;BNB_BSNH_BSAL_BPHD_subgradient_act_;29.03.24 14:28;405.06;False;4.44;22059;False;True;True;False;3;18;;;
BBUP_O;gap stop, 10 sec;BBUP_O_subgradient_act_;29.03.24 14:28;242.81;False;8.76;14578;False;True;True;False;3;11;;;
BBUP_W;gap stop, 10 sec;BBUP_W_subgradient_act_;29.03.24 14:28;125.12;False;15.16;15050;False;True;True;False;3;7;;;
BPKW_BKRW_BSNF_O;gap stop, 10 sec;BPKW_BKRW_BSNF_O_subgradient_act_;29.03.24 14:28;104.83;False;5.5;9771;False;True;True;False;3;7;;;
BWKS_medium_september;gap stop, 10 sec;BWKS_medium_september_subgradient_act_;29.03.24 14:28;114.45;False;5.21;8798;False;True;True;False;3;7;;;
BGB_BWES;gap stop, 10 sec;BGB_BWES_subgradient_act_;29.03.24 14:28;514.78;False;7.75;25609;False;True;True;False;3;22;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
BBER_BBU;feasibility stop, 5sec;BBER_BBU_subgradient_act_;29.03.24 15:45;0.06;False;;982;False;True;True;False;3;5;;;
BBKS_BWT;feasibility stop, 5sec;BBKS_BWT_subgradient_act_;29.03.24 15:45;248.26;False;;9871;False;True;True;False;3;25;;;
BBOS_BWIN_BTG;feasibility stop, 5sec;BBOS_BWIN_BTG_subgradient_act_;29.03.24 15:45;21.27;False;;10210;False;True;True;False;3;5;;;
BGAS_BKW;feasibility stop, 5sec;BGAS_BKW_subgradient_act_;29.03.24 15:45;19.2;False;;4914;False;True;True;False;3;5;;;
BNB_BSNH_BSAL_BPHD;feasibility stop, 5sec;BNB_BSNH_BSAL_BPHD_subgradient_act_;29.03.24 15:45;219.25;True;;-1;False;True;False;False;3;40;;;
BBUP_O;feasibility stop, 5sec;BBUP_O_subgradient_act_;29.03.24 15:45;265.45;False;;14532;False;True;True;False;3;20;;;
BBUP_W;feasibility stop, 5sec;BBUP_W_subgradient_act_;29.03.24 15:45;307.81;False;;15109;False;True;True;False;3;29;;;
BPKW_BKRW_BSNF_O;feasibility stop, 5sec;BPKW_BKRW_BSNF_O_subgradient_act_;29.03.24 15:45;20.31;False;;9783;False;True;True;False;3;5;;;
BWKS_medium_september;feasibility stop, 5sec;BWKS_medium_september_subgradient_act_;29.03.24 15:45;25.44;False;;10447;False;True;True;False;3;5;;;
BGB_BWES;no additional constraints;BGB_BWES_subgradient_act_;29.03.24 15:33;382.33;False;;25925;False;True;True;False;3;26;;;